EMC_ID,AC,LABEL_INT_EN,LABEL_INT_FR,LABEL_EXT_EN,LABEL_EXT_FR
900206,T.3.GPV.Pu.Exp11t15,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Teaching experience of 11 to 15 years",,,
900207,T.3.GPV.Pu.Exp15p,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Teaching experience of more than 15 years",,,
900208,T.3.GPV.Pu.Expuk,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Teaching experience not specified",,,
900209,NT.3.GPV.Pr,"Newly recruited teachers in ISCED 3, General&Pre-Voc, Private, initial education",,,
900210,NT.3.GPV.Pr.trained,"Newly recruited teachers in ISCED 3, General&Pre-Voc, Private, initial education, Trained teacher",,,
900211,T.3.GPV.Pr.Exp1t2,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Teaching experience of 1 to 2 years",,,
900212,T.3.GPV.Pr.Exp3t5,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Teaching experience of 3 to 5 years",,,
900213,T.3.GPV.Pr.Exp6t10,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Teaching experience of 6 to 10 years",,,
900214,T.3.GPV.Pr.Exp11t15,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Teaching experience of 11 to 15 years",,,
900215,T.3.GPV.Pr.Exp15p,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Teaching experience of more than 15 years",,,
900216,T.3.GPV.Pr.Expuk,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Teaching experience not specified",,,
900217,NT.3.GPV,"Newly recruited teachers in ISCED 3, General&Pre-Voc, initial education",,,
900218,NT.3.GPV.trained,"Newly recruited teachers in ISCED 3, General&Pre-Voc, initial education, Trained teacher",,,
900219,T.3.GPV.Exp1t2,"Education staff in ISCED 3, General&Pre-Voc, initial education, Teaching experience of 1 to 2 years",,,
900220,T.3.GPV.Exp3t5,"Education staff in ISCED 3, General&Pre-Voc, initial education, Teaching experience of 3 to 5 years",,,
900221,T.3.GPV.Exp6t10,"Education staff in ISCED 3, General&Pre-Voc, initial education, Teaching experience of 6 to 10 years",,,
900222,T.3.GPV.Exp11t15,"Education staff in ISCED 3, General&Pre-Voc, initial education, Teaching experience of 11 to 15 years",,,
900223,T.3.GPV.Exp15p,"Education staff in ISCED 3, General&Pre-Voc, initial education, Teaching experience of more than 15 years",,,
900224,T.3.GPV.Expuk,"Education staff in ISCED 3, General&Pre-Voc, initial education, Teaching experience not specified",,,
900225,T.3.GPV.Pu.Ag20m,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Aged less than 20 years",,,
900226,T.3.GPV.Pu.Ag20t29,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Aged 20 to 29 years",,,
900227,T.3.GPV.Pu.Ag30t39,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Aged 30 to 39 years",,,
