AC,LABEL_INT_EN
T.3.GPV.EA.5,"Education staff in ISCED 3, General&Pre-Voc, initial education, Education attained ISCED 5"
T.3.GPV.EA.6,"Education staff in ISCED 3, General&Pre-Voc, initial education, Education attained ISCED 6"
T.3.GPV.EA.7,"Education staff in ISCED 3, General&Pre-Voc, initial education, Education attained ISCED 7"
T.3.GPV.EA.8,"Education staff in ISCED 3, General&Pre-Voc, initial education, Education attained ISCED 8"
T.3.GPV.EA.uk,"Education staff in ISCED 3, General&Pre-Voc, initial education, Education attained not specified"
NT.3.GPV.Pu,"Newly recruited teachers in ISCED 3, General&Pre-Voc, Public, initial education"
NT.3.GPV.Pu.trained,"Newly recruited teachers in ISCED 3, General&Pre-Voc, Public, initial education, Trained teacher"
T.3.GPV.Pu.Exp1t2,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Teaching experience of 1 to 2 years"
T.3.GPV.Pu.Exp3t5,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Teaching experience of 3 to 5 years"
T.3.GPV.Pu.Exp6t10,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Teaching experience of 6 to 10 years"
T.3.GPV.Pu.Exp11t15,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Teaching experience of 11 to 15 years"
T.3.GPV.Pu.Exp15p,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Teaching experience of more than 15 years"
T.3.GPV.Pu.Expuk,"Education staff in ISCED 3, General&Pre-Voc, Public, initial education, Teaching experience not specified"
NT.3.GPV.Pr,"Newly recruited teachers in ISCED 3, General&Pre-Voc, Private, initial education"
NT.3.GPV.Pr.trained,"Newly recruited teachers in ISCED 3, General&Pre-Voc, Private, initial education, Trained teacher"
T.3.GPV.Pr.Exp1t2,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Teaching experience of 1 to 2 years"
T.3.GPV.Pr.Exp3t5,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Teaching experience of 3 to 5 years"
T.3.GPV.Pr.Exp6t10,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Teaching experience of 6 to 10 years"
T.3.GPV.Pr.Exp11t15,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Teaching experience of 11 to 15 years"
T.3.GPV.Pr.Exp15p,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Teaching experience of more than 15 years"
T.3.GPV.Pr.Expuk,"Education staff in ISCED 3, General&Pre-Voc, Private, initial education, Teaching experience not specified"
NT.3.GPV,"Newly recruited teachers in ISCED 3, General&Pre-Voc, initial education"
NT.3.GPV.trained,"Newly recruited teachers in ISCED 3, General&Pre-Voc, initial education, Trained teacher"
T.3.GPV.Exp1t2,"Education staff in ISCED 3, General&Pre-Voc, initial education, Teaching experience of 1 to 2 years"
T.3.GPV.Exp3t5,"Education staff in ISCED 3, General&Pre-Voc, initial education, Teaching experience of 3 to 5 years"
